id,GICS_P_1,GICS_P_2,GICS_P_3,GICS_P_4,SoC_P_1,SoC_P_2,SoC_P_3,CSC_P_1,CSC_P_2,CSC_P_3,CSC_P_4,SACS_P_1,SACS_P_2,SACS_P_3,SACS_P_4,GICS_1,GICS_2,GICS_3,GICS_4,SoC_1,SoC_2,SoC_3,CSC_1,CSC_2,CSC_3,CSC_4,SACS_1,SACS_2,SACS_3,SACS_4,MAS_UK_1,MAS_UK_2,MAS_UK_3,MAS_UK_4,MAS_UK_5,MAS_UK_6,MAS_UK_7,MAS_UK_8,MAS_UK_9,MAS_UK_10,MAS_UK_11,MAS_UK_12,MAS_UK_13,MAS_UK_14,MAS_UK_15,MAS_UK_16,MAS_UK_17,MAS_UK_18,MAS_UK_19,MAS_UK_20,MAS_UK_21,MAS_UK_22,MAS_UK_23,TAI_1,TAI_2,TAI_3,TAI_4,TAI_5,TAI_6,TAI_7,TAI_8,TAI_9,TAI_10,TAI_11,TAI_12,TAI_13,TAI_14,TAI_15,TAI_16,TAI_17,TAI_18,TAI_19,TAI_20,study,experience,happy,tests,test_hours,test_attempts,test_result,skills,gender,age,ethnic,UK,native,psychology,stage,qualification
R_3dwAjYOqprSLePn,2,3,2,2,3,4,2,2,3,4,3,1,4,1,3,2,2,4,2,3,4,3,2,3,3,4,1,4,1,2,5,1,3,2,1,3,5,2,2,1,1,1,1,2,1,1,1,3,2,1,2,2,5,2,2,3,2,3,3,3,2,4,2,2,4,2,1,2,2,4,2,2,3,10,1,3,4,2,2,7,3,2,18,9,1,1,1,1,A-levels
R_3kFmn6mkbZujz7l,4,4,4,4,2,2,4,3,4,2,2,2,2,1,1,2,2,2,2,2,2,4,4,3,4,4,1,3,1,1,4,5,5,3,1,5,5,1,1,2,3,1,3,1,1,1,4,5,3,4,3,2,5,1,3,2,2,3,1,1,3,4,4,3,4,4,2,3,3,2,3,2,3,2,1,6,6,0,3,70,4,2,20,11,2,1,1,1,A levels
R_123vK2yQlgMnd5Z,3,4,4,4,3,3,1,4,4,3,3,3,1,2,3,2,3,3,3,2,2,3,2,2,3,4,2,3,2,2,2,2,4,2,2,5,3,2,1,1,2,1,2,2,2,1,2,4,2,1,1,1,4,2,3,2,2,3,1,2,3,4,4,3,3,2,2,2,4,3,3,3,2,5,1,6,6,2,2,80,4,2,18,9,1,1,1,1,A levels 
R_3LXPEAng9Ed93D2,1,4,4,4,2,2,5,1,3,3,4,2,1,1,2,3,3,3,3,2,2,4,2,3,2,2,2,2,1,2,3,4,3,1,2,3,2,3,2,1,1,2,1,1,2,2,2,5,2,3,1,1,3,2,3,3,1,3,2,3,2,4,3,3,3,2,1,2,3,4,3,1,1,6,1,3,5,1,3,9,4,2,18,7,1,1,1,1,A- Levels
R_3Kl6swRT2PpFygx,1,5,3,3,4,3,4,5,5,1,1,2,2,1,1,1,5,1,1,4,3,4,5,5,2,2,3,2,1,2,2,1,5,1,1,5,2,1,1,2,2,1,1,1,1,1,1,5,1,1,1,1,5,1,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,2,6,1,5,7,1,3,10,2,2,19,9,1,1,1,1,a-levels 
R_YWXxLFmKafO6Rt7,1,1,4,3,3,3,4,1,3,3,3,1,2,1,2,1,2,3,3,3,3,4,1,3,3,3,1,2,1,2,2,2,3,2,3,4,2,4,2,3,2,1,3,2,1,1,3,4,4,3,3,2,5,2,3,3,1,2,1,2,2,4,4,3,4,2,2,3,3,4,1,2,3,3,1,3,4,1.5,3,99,3,1,19,6,2,1,1,1,A-levels 
R_UAuaDWAYgH9jT8d,2,1,2,1,3,3,5,1,4,2,3,1,3,1,1,1,1,2,1,1,1,5,1,2,4,4,1,3,1,1,3,1,3,1,1,3,5,1,1,1,1,1,3,2,1,1,1,5,1,1,2,1,5,2,2,3,2,3,1,2,3,4,2,2,3,1,1,2,3,2,2,1,2,4,1,7,7,2,2,100,5,2,18,9,1,1,1,1,a levels 
R_DGJXqKOAGxb4qNX,3,5,5,5,4,5,1,4,5,1,1,4,1,3,4,4,5,5,4,4,5,2,2,5,1,1,4,1,3,4,4,5,3,2,4,5,5,4,1,2,1,2,2,1,2,1,1,4,3,2,4,4,5,1,3,2,3,4,3,3,4,3,3,4,4,2,3,4,4,3,3,3,3,8.5,1,1,4,2,2,60,1,2,18,9,1,1,1,1,A-levels
R_3xGDIDHsqVC0gyR,1,1,3,3,1,1,4,4,4,2,2,1,4,1,1,1,2,3,3,3,2,4,4,2,2,2,1,4,1,1,2,2,2,1,2,3,4,2,1,2,1,3,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,3,1,1,2,1,2,1,2,1,7,1,3,7,2,2,9,2,2,18,7,2,2,1,1,BTEC
R_2S6NuZRU8wi8yK6,1,2,2,3,1,2,5,1,4,4,4,1,4,1,2,2,2,3,3,1,2,5,1,4,5,5,1,4,1,1,2,1,3,1,2,3,2,4,1,2,3,1,1,3,2,1,2,2,2,2,1,5,3,2,3,2,3,2,1,3,3,4,4,4,4,1,2,3,4,2,3,4,2,3,2,6,4,1,2,80,2,1,19,8,1,1,1,1,A-Levels
